Radar Value, Lidar Value
3.05573,1.97283
1.66749,1.97283
1.66749,5.17192
2.97374,5.17192
2.97374,2.37519
3.87261,2.37519
3.87261,0.79097
2.85623,0.79097
2.85623,0.385848
0.346536,0.385848
0.346536,2.87926
4.39632,2.87926
4.39632,4.88123
2.15461,4.88123
2.15461,1.91873
2.28969,1.91873
2.28969,0.836749
4.97453,0.836749
4.97453,2.04633
7.57232,2.04633
7.57232,0.478967
1.71369,0.478967
1.71369,0.392067
0.711006,0.392067
0.711006,1.66402
1.76894,1.66402
1.76894,0.264511
3.93326,0.264511
3.93326,3.32631
1.25424,3.32631
1.25424,1.86788
5.19731,1.86788
5.19731,13.195
1.66723,13.195
1.66723,0.732491
2.54201,0.732491
2.54201,1.0866
1.96167,1.0866
1.96167,1.39441
6.01339,1.39441
6.01339,0.0396798
2.17947,0.0396798
2.17947,1.48862
0.785479,1.48862
0.785479,6.90623
3.95435,6.90623
3.95435,2.59663
1.3447,2.59663
1.3447,0.667127
0.838816,0.667127
0.838816,1.77535
2.12603,1.77535
2.12603,3.74106
3.62956,3.74106
3.62956,5.04655
0.362538,5.04655
0.362538,2.88131
1.93286,2.88131
1.93286,0.171868
1.16174,0.171868
1.16174,0.674678
6.37408,0.674678
6.37408,0.512146
0.30679,0.512146
0.30679,0.503024
10.8891,0.503024
10.8891,1.81502
3.76884,1.81502
3.76884,4.56392
0.898876,4.56392
0.898876,1.66556
1.27821,1.66556
1.27821,5.28654
0.870645,5.28654
0.870645,0.877794
2.01807,0.877794
2.01807,1.31272
1.70559,1.31272
1.70559,0.0063531
4.99813,0.0063531
4.99813,0.673692
2.33957,0.673692
2.33957,2.72951
2.76041,2.72951
2.76041,1.28927
1.77336,1.28927
1.77336,2.61013
7.31023,2.61013
7.31023,0.200625
8.92513,0.200625
8.92513,0.513194
0.173439,0.513194
0.173439,0.788036
1.17247,0.788036
1.17247,0.218739
2.4561,0.218739
2.4561,1.5412
2.22964,1.5412
2.22964,0.23929
1.07718,0.23929
1.07718,3.81589
0.541376,3.81589
0.541376,2.03308
8.91363,2.03308
8.91363,0.449544
2.26457,0.449544
2.26457,0.979299
0.857513,0.979299
0.857513,1.18729
3.26887,1.18729
3.26887,0.0698769
4.46302,0.0698769
4.46302,0.061181
1.79222,0.061181
1.79222,4.62479
5.52,4.62479
5.52,1.02866
1.379,1.02866
1.379,0.342925
2.2323,0.342925
2.2323,2.20045
6.0823,2.20045
6.0823,0.114687
1.8064,0.114687
1.8064,4.01022
6.39734,4.01022
6.39734,3.56402
4.44066,3.56402
4.44066,1.66459
2.31771,1.66459
2.31771,0.59471
1.65382,0.59471
1.65382,0.304315
4.7584,0.304315
4.7584,6.28481
1.6132,6.28481
1.6132,1.10487
4.90327,1.10487
4.90327,3.45253
3.34723,3.45253
3.34723,1.10502
0.511029,1.10502
0.511029,1.39785
0.0658752,1.39785
0.0658752,1.54326
0.502216,1.54326
0.502216,0.804742
0.377526,0.804742
0.377526,1.59582
7.69862,1.59582
7.69862,0.265477
6.37768,0.265477
6.37768,1.93727
0.539793,1.93727
0.539793,8.34504
2.35853,8.34504
2.35853,0.31648
0.241976,0.31648
0.241976,4.66306
1.74969,4.66306
1.74969,1.25974
0.820119,1.25974
0.820119,2.68006
2.8215,2.68006
2.8215,0.669637
8.46418,0.669637
8.46418,2.64141
0.244193,2.64141
0.244193,1.0408
6.70345,1.0408
6.70345,2.48767
3.68656,2.48767
3.68656,1.04895
2.43071,1.04895
2.43071,1.51017
5.98542,1.51017
5.98542,3.8128
1.69524,3.8128
1.69524,7.11367
2.44477,7.11367
2.44477,0.842525
